iso_alpha,country,continent,rgb_str
AFG,AFG,World,"(1, 0, 0)"
AGO,AGO,World,"(2, 0, 0)"
ALB,ALB,World,"(3, 0, 0)"
ARE,ARE,World,"(4, 0, 0)"
ARG,ARG,World,"(5, 0, 0)"
ARM,ARM,World,"(6, 0, 0)"
ATA,ATA,World,"(7, 0, 0)"
ATF,ATF,World,"(8, 0, 0)"
AUS,AUS,World,"(9, 0, 0)"
AUT,AUT,World,"(10, 0, 0)"
AZE,AZE,World,"(11, 0, 0)"
BDI,BDI,World,"(12, 0, 0)"
BEL,BEL,World,"(13, 0, 0)"
BEN,BEN,World,"(14, 0, 0)"
BFA,BFA,World,"(15, 0, 0)"
BGD,BGD,World,"(16, 0, 0)"
BGR,BGR,World,"(17, 0, 0)"
BHS,BHS,World,"(18, 0, 0)"
BIH,BIH,World,"(19, 0, 0)"
BLR,BLR,World,"(20, 0, 0)"
BLZ,BLZ,World,"(21, 0, 0)"
BOL,BOL,World,"(22, 0, 0)"
BRA,BRA,World,"(23, 0, 0)"
BRN,BRN,World,"(24, 0, 0)"
BTN,BTN,World,"(25, 0, 0)"
BWA,BWA,World,"(26, 0, 0)"
CAF,CAF,World,"(27, 0, 0)"
CAN,CAN,World,"(28, 0, 0)"
CHE,CHE,World,"(29, 0, 0)"
CHL,CHL,World,"(30, 0, 0)"
CHN,CHN,World,"(31, 0, 0)"
CIV,CIV,World,"(32, 0, 0)"
CMR,CMR,World,"(33, 0, 0)"
COD,COD,World,"(34, 0, 0)"
COG,COG,World,"(35, 0, 0)"
COL,COL,World,"(36, 0, 0)"
CRI,CRI,World,"(37, 0, 0)"
CUB,CUB,World,"(38, 0, 0)"
CYP,CYP,World,"(39, 0, 0)"
CZE,CZE,World,"(40, 0, 0)"
DEU,DEU,World,"(41, 0, 0)"
DJI,DJI,World,"(42, 0, 0)"
DNK,DNK,World,"(43, 0, 0)"
DOM,DOM,World,"(44, 0, 0)"
DZA,DZA,World,"(45, 0, 0)"
ECU,ECU,World,"(46, 0, 0)"
EGY,EGY,World,"(47, 0, 0)"
ERI,ERI,World,"(48, 0, 0)"
ESP,ESP,World,"(49, 0, 0)"
EST,EST,World,"(50, 0, 0)"
ETH,ETH,World,"(51, 0, 0)"
FIN,FIN,World,"(52, 0, 0)"
FJI,FJI,World,"(53, 0, 0)"
FLK,FLK,World,"(54, 0, 0)"
FRA,FRA,World,"(55, 0, 0)"
GAB,GAB,World,"(56, 0, 0)"
GBR,GBR,World,"(57, 0, 0)"
GEO,GEO,World,"(58, 0, 0)"
GHA,GHA,World,"(59, 0, 0)"
GIN,GIN,World,"(60, 0, 0)"
GMB,GMB,World,"(61, 0, 0)"
GNB,GNB,World,"(62, 0, 0)"
GNQ,GNQ,World,"(63, 0, 0)"
GRC,GRC,World,"(64, 0, 0)"
GRL,GRL,World,"(65, 0, 0)"
GTM,GTM,World,"(66, 0, 0)"
GUY,GUY,World,"(67, 0, 0)"
HND,HND,World,"(68, 0, 0)"
HRV,HRV,World,"(69, 0, 0)"
HTI,HTI,World,"(70, 0, 0)"
HUN,HUN,World,"(71, 0, 0)"
IDN,IDN,World,"(72, 0, 0)"
IND,IND,World,"(73, 0, 0)"
IRL,IRL,World,"(74, 0, 0)"
IRN,IRN,World,"(75, 0, 0)"
IRQ,IRQ,World,"(76, 0, 0)"
ISL,ISL,World,"(77, 0, 0)"
ISR,ISR,World,"(78, 0, 0)"
ITA,ITA,World,"(79, 0, 0)"
JAM,JAM,World,"(80, 0, 0)"
JOR,JOR,World,"(81, 0, 0)"
JPN,JPN,World,"(82, 0, 0)"
KAZ,KAZ,World,"(83, 0, 0)"
KEN,KEN,World,"(84, 0, 0)"
KGZ,KGZ,World,"(85, 0, 0)"
KHM,KHM,World,"(86, 0, 0)"
KOR,KOR,World,"(87, 0, 0)"
KWT,KWT,World,"(88, 0, 0)"
LAO,LAO,World,"(89, 0, 0)"
LBN,LBN,World,"(90, 0, 0)"
LBR,LBR,World,"(91, 0, 0)"
LBY,LBY,World,"(92, 0, 0)"
LKA,LKA,World,"(93, 0, 0)"
LSO,LSO,World,"(94, 0, 0)"
LTU,LTU,World,"(95, 0, 0)"
LUX,LUX,World,"(96, 0, 0)"
LVA,LVA,World,"(97, 0, 0)"
MAR,MAR,World,"(98, 0, 0)"
MDA,MDA,World,"(99, 0, 0)"
